City,Date,PM2.5,NO,CO,SO2,O3,AQI
Ahmedabad,2015-01-01,67.45057794890306,0.92,0.92,27.64,133.36,166.4635814889336
Ahmedabad,2015-01-02,67.45057794890306,0.97,0.97,24.55,34.06,166.4635814889336
Ahmedabad,2015-01-03,67.45057794890306,17.4,17.4,29.07,30.7,166.4635814889336
Ahmedabad,2015-01-04,67.45057794890306,1.7,1.7,18.59,36.08,166.4635814889336
Ahmedabad,2015-01-05,67.45057794890306,22.1,22.1,39.33,39.31,166.4635814889336
Ahmedabad,2015-01-06,67.45057794890306,45.41,45.41,45.76,46.51,166.4635814889336
Ahmedabad,2015-01-07,67.45057794890306,112.16,112.16,32.28,33.47,166.4635814889336
Ahmedabad,2015-01-08,67.45057794890306,80.87,80.87,38.54,31.89,166.4635814889336
Ahmedabad,2015-01-09,67.45057794890306,29.16,29.16,58.68,25.75,166.4635814889336
Ahmedabad,2015-01-10,67.45057794890306,17.574729662029362,2.2485982090856145,8.29,4.55,166.4635814889336
Ahmedabad,2015-01-11,67.45057794890306,132.07,132.07,25.03,6.79,166.4635814889336
Ahmedabad,2015-01-12,67.45057794890306,52.04,52.04,51.84,45.89,166.4635814889336
Ahmedabad,2015-01-13,67.45057794890306,48.82,48.82,68.21,35.16,166.4635814889336
Ahmedabad,2015-01-14,67.45057794890306,19.2,19.2,52.65,20.96,166.4635814889336
Ahmedabad,2015-01-15,67.45057794890306,0.6,0.6,28.89,47.63,166.4635814889336
Ahmedabad,2015-01-16,67.45057794890306,1.63,1.63,38.27,46.03,166.4635814889336
Ahmedabad,2015-01-17,67.45057794890306,11.44,11.44,49.5,52.24,166.4635814889336
Ahmedabad,2015-01-18,67.45057794890306,6.1,6.1,48.43,53.49,166.4635814889336
Ahmedabad,2015-01-19,67.45057794890306,2.51,2.51,50.03,49.48,166.4635814889336
Ahmedabad,2015-01-20,67.45057794890306,7.92,7.92,58.87,56.37,166.4635814889336
Ahmedabad,2015-01-21,67.45057794890306,9.52,9.52,106.93,48.75,166.4635814889336
Ahmedabad,2015-01-22,67.45057794890306,9.05,9.05,23.71,42.22,166.4635814889336
Ahmedabad,2015-01-23,67.45057794890306,22.53,22.53,39.19,32.92,166.4635814889336
Ahmedabad,2015-01-24,67.45057794890306,2.03,2.03,40.07,32.49,166.4635814889336
Ahmedabad,2015-01-25,67.45057794890306,1.42,1.42,58.41,39.26,166.4635814889336
Ahmedabad,2015-01-26,67.45057794890306,2.27,2.27,43.73,39.83,166.4635814889336
Ahmedabad,2015-01-27,67.45057794890306,2.19,2.19,43.28,41.1,166.4635814889336
Ahmedabad,2015-01-28,73.24,5.72,5.72,36.52,62.42,166.4635814889336
Ahmedabad,2015-01-29,83.13,6.93,6.93,49.52,59.76,209.0
Ahmedabad,2015-01-30,79.84,13.85,13.85,48.49,97.07,328.0
